var,id_entidad,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
acci,29,14.0,13.0,18.0,39.0,42.0,30.0,36.0,38.0,28.0,42.0,33.0,65.0,86.0,97.0,104.0,99.0,91.0,74.0,95.0,75.0,120.0,80.0,49.0,57.0,68.0,73.0
acci,30,141.0,109.0,139.0,135.0,170.0,200.0,227.0,230.0,206.0,224.0,227.0,275.0,284.0,246.0,264.0,242.0,235.0,252.0,218.0,171.0,136.0,140.0,110.0,87.0,74.0,71.0
acci,31,70.0,36.0,68.0,87.0,76.0,85.0,59.0,55.0,51.0,52.0,75.0,68.0,62.0,66.0,73.0,68.0,43.0,40.0,47.0,49.0,41.0,37.0,48.0,19.0,40.0,37.0
acci,32,69.0,55.0,96.0,91.0,63.0,76.0,66.0,71.0,84.0,80.0,96.0,105.0,111.0,102.0,80.0,76.0,88.0,80.0,80.0,108.0,83.0,83.0,111.0,85.0,95.0,86.0
fata,01,300.0,118.0,139.0,65.0,66.0,63.0,58.0,72.0,55.0,47.0,76.0,86.0,68.0,68.0,69.0,73.0,53.0,89.0,74.0,83.0,71.0,81.0,100.0,76.0,82.0,85.0
fata,02,411.0,504.0,811.0,312.0,52.0,128.0,154.0,140.0,146.0,151.0,113.0,106.0,133.0,116.0,142.0,112.0,125.0,89.0,133.0,70.0,66.0,65.0,56.0,99.0,158.0,138.0
fata,03,22.0,16.0,14.0,22.0,39.0,30.0,24.0,22.0,38.0,42.0,75.0,94.0,42.0,49.0,70.0,36.0,30.0,27.0,32.0,45.0,42.0,27.0,41.0,36.0,35.0,28.0
fata,04,15.0,17.0,29.0,20.0,26.0,34.0,28.0,31.0,46.0,39.0,51.0,39.0,36.0,27.0,36.0,37.0,31.0,30.0,38.0,53.0,38.0,29.0,42.0,32.0,34.0,45.0
fata,05,95.0,95.0,101.0,68.0,77.0,89.0,72.0,64.0,51.0,91.0,137.0,74.0,124.0,115.0,103.0,106.0,101.0,112.0,90.0,75.0,108.0,108.0,94.0,75.0,98.0,101.0
fata,06,38.0,32.0,37.0,57.0,48.0,31.0,41.0,65.0,45.0,53.0,47.0,50.0,32.0,46.0,220.0,50.0,43.0,46.0,47.0,39.0,32.0,25.0,15.0,31.0,45.0,34.0
fata,07,131.0,91.0,80.0,89.0,106.0,106.0,119.0,92.0,102.0,122.0,148.0,127.0,203.0,130.0,137.0,119.0,98.0,119.0,110.0,97.0,98.0,89.0,78.0,67.0,88.0,75.0
fata,08,309.0,222.0,266.0,367.0,397.0,409.0,431.0,380.0,289.0,314.0,290.0,603.0,640.0,618.0,515.0,349.0,317.0,269.0,345.0,319.0,325.0,294.0,293.0,288.0,327.0,345.0
fata,09,671.0,263.0,346.0,284.0,313.0,268.0,312.0,248.0,343.0,360.0,364.0,298.0,306.0,341.0,341.0,343.0,370.0,312.0,210.0,227.0,203.0,240.0,226.0,150.0,171.0,255.0
fata,10,99.0,89.0,133.0,120.0,97.0,102.0,111.0,119.0,134.0,170.0,151.0,154.0,167.0,133.0,154.0,145.0,147.0,142.0,150.0,154.0,128.0,114.0,131.0,99.0,120.0,104.0
fata,11,266.0,442.0,153.0,174.0,179.0,189.0,183.0,156.0,183.0,175.0,240.0,234.0,159.0,158.0,140.0,151.0,133.0,125.0,176.0,217.0,197.0,215.0,211.0,178.0,163.0,234.0
fata,12,58.0,49.0,48.0,54.0,64.0,68.0,71.0,69.0,65.0,95.0,74.0,66.0,83.0,94.0,80.0,92.0,69.0,79.0,46.0,63.0,72.0,62.0,62.0,43.0,78.0,122.0
fata,13,81.0,69.0,67.0,66.0,103.0,108.0,117.0,99.0,119.0,94.0,90.0,100.0,94.0,80.0,123.0,69.0,93.0,71.0,80.0,43.0,44.0,43.0,27.0,24.0,20.0,33.0
fata,14,740.0,172.0,277.0,762.0,648.0,804.0,802.0,659.0,419.0,380.0,535.0,402.0,536.0,511.0,436.0,507.0,376.0,442.0,317.0,353.0,345.0,398.0,326.0,248.0,297.0,356.0
fata,15,268.0,481.0,652.0,615.0,547.0,349.0,637.0,523.0,498.0,665.0,871.0,1710.0,1619.0,1592.0,1883.0,166.0,138.0,125.0,124.0,119.0,66.0,57.0,153.0,287.0,407.0,639.0
fata,16,190.0,230.0,158.0,193.0,190.0,218.0,251.0,247.0,245.0,288.0,257.0,474.0,457.0,435.0,655.0,415.0,428.0,362.0,326.0,338.0,242.0,200.0,249.0,245.0,255.0,328.0
fata,17,44.0,35.0,50.0,42.0,39.0,43.0,33.0,90.0,76.0,92.0,94.0,118.0,92.0,71.0,100.0,85.0,89.0,74.0,82.0,78.0,68.0,77.0,104.0,94.0,112.0,118.0
